X,Y,Z
5.0,5.0,5.0
5.02387808177257,5.731178664650224,5.089559475475398
5.093332362310156,6.461241644792304,5.203629210308762
5.20554074783217,7.195933632354212,5.3442832946373535
5.3582121052009315,7.94033554293906,5.5142648267019085
5.549509762595806,8.698874518859318,5.71695566880268
5.777979744802649,9.475314331192996,5.9563628631159915
6.0424823531296,10.27272387697385,6.237115611037484
6.3421253913625835,11.09342142592545,6.564467021984463
6.676197202499292,11.938893654915558,6.944294043805877
7.0440979874521705,12.80968699682588,7.383089401701441
7.445267590322336,13.705270947913064,7.8879375868067925
7.879108236164183,14.623873112477758,8.4664663724353
8.344900638238657,15.562287546699928,9.126763009176733
8.841712484069545,16.515660273877344,9.877244452395336
9.368298362462802,17.477259020684247,10.726467911038474
9.922991084412715,18.438238676521685,11.682868416866528
10.503585185947243,19.38741950837763,12.754410210270194
11.107214686159883,20.311101877352794,13.948140786267457
11.730228794235732,21.192948661072823,15.269640972904043
12.368071296096362,22.01397413853087,16.722372307709936
13.015171697096159,22.752684448351207,18.30693487224948
13.6648587188369,23.385418085067965,20.02026507114435
14.309309161539082,23.886932843113154,21.854823235782888
14.93954701756826,24.23127543975711,23.797843886451137
15.545508482613032,24.392949223132934,25.830743935772905
16.11618748494013,24.348362428141115,27.928801262053806
16.639872892321197,24.07749522790043,30.06122167512877
17.1044821852822,23.565672113954847,32.19169979886983
17.497987055165936,22.80527519287875,34.27954329605514
17.80891473329619,21.797195258454337,36.281369089084585
18.026896075748155,20.551803868818496,38.15329826134555
18.143219918937774,19.089253657423402,39.8534874252534
18.151345548840265,17.43897680043271,41.34475597237824
18.04732241956158,15.638353406346496,42.59701646142752
17.830071746817943,13.730639987210395,43.58921469372728
17.501497638718575,11.762365334646514,44.31053925580872
17.06641335084934,9.780483041656758,44.76075806394515
16.532289297694756,7.829603431624456,44.949665937764756
15.908849678812546,5.949603375453487,44.895754824694244
15.20755951360548,4.173835998778746,44.624316364503514
14.4410522840198,2.528057278497182,44.16524043758939
13.622549134363872,1.030078148377778,43.55077651295136
12.765314583473948,-0.3099461348020896,42.81348571436289
11.88218293535672,-1.488736538919745,41.984543013673395
10.985176804038474,-2.508794803064277,41.09247344957641
10.085226591802579,-3.3771608131770354,40.16233653422748
9.191989126505419,-4.104164445637073,39.2153201878811
